TS,IT,IH,OT,OH,HP
52,18.6278,40.5400,-5.0944,57.0900,29.0563
53,18.5944,40.5100,-4.9167,54.9200,29.0563
54,18.9111,40.8300,-4.7778,55.8700,28.9063
55,18.9222,41.0200,-4.5222,53.6200,29.2513
56,18.7889,41.0900,-4.3444,51.9800,29.2513
57,18.8833,41.0900,-4.2167,49.7300,29.2513
58,19.3944,41.1000,-3.9889,49.3000,29.4763
59,19.1500,41.1400,-3.7278,48.6200,29.8188
60,18.9333,41.3300,-3.7111,46.9000,29.8188
61,18.9556,41.3800,-3.5389,45.9800,29.8188
62,19.2611,41.4900,-3.4444,44.9300,29.7938
63,19.3111,41.3700,-3.3111,43.6100,34.4813
64,19.0278,41.5900,-3.2056,44.2600,34.4813
65,19.0556,41.5700,-3.0333,43.8700,34.4813
66,19.3389,41.6100,-3.2722,43.7100,34.0638
67,19.3500,41.5500,-3.4278,44.3100,34.1888
68,19.1222,41.6000,-3.1556,43.9800,34.1888
69,19.0500,41.5800,-3.1222,44.0400,34.1888
70,19.0500,41.6100,-2.8611,44.1400,33.4388
71,19.0389,41.4700,-2.9000,43.4200,41.1013
72,18.6944,41.5200,-2.8611,43.9800,41.9450
73,18.6611,41.3800,-2.9056,44.3600,41.9450
74,18.8500,42.2300,-3.0167,44.9800,41.2575
75,19.0278,42.7000,-3.1833,46.1900,41.2575
76,18.6056,42.4900,-3.4556,47.8200,48.8200
77,18.5667,42.1900,-3.8278,52.8900,48.7888
78,18.7222,42.1000,-4.4444,58.8500,48.7263
79,18.7389,42.2000,-4.8444,66.1200,48.7263
80,18.5222,42.1600,-5.0333,68.2200,53.0713
81,18.5111,42.0700,-5.4333,69.7100,53.0713
82,18.6889,42.0600,-5.8222,74.9600,52.8513
83,18.7667,42.1100,-6.0444,77.0200,52.2763
84,18.6611,42.2500,-6.2611,77.9100,56.4938
85,18.5056,42.2600,-6.4667,79.1500,56.4938
86,18.5556,42.2100,-6.6611,79.8400,56.4013
87,18.6667,42.0400,-6.7833,81.8000,56.7763
88,18.6556,42.0500,-7.0167,81.5000,57.2763
89,18.4889,42.0100,-7.2389,82.9000,57.3075
90,18.5444,42.6800,-7.3111,84.7000,56.4950
91,18.6500,43.1900,-7.4000,85.9000,56.1950
92,18.6722,43.1100,-7.5556,87.0000,56.1650
93,18.4944,42.9200,-7.6667,86.9000,56.1650
94,18.5500,42.9200,-7.8333,87.7000,56.3200
95,18.5889,43.0200,-7.9389,88.0000,56.2950
96,18.5944,42.7800,-8.1167,88.9000,43.7625
1,18.4944,42.5600,-8.2278,90.4000,43.7625
2,18.4611,42.3900,-8.3278,90.9000,43.0125
3,18.4944,42.0800,-8.3389,91.8000,43.0875
4,18.4778,41.9100,-8.4444,91.9000,40.3375
5,18.4778,41.8000,-8.5722,92.7000,40.3375
6,18.4278,41.6500,-8.6944,92.9000,40.1200
7,18.5278,41.3700,-8.7611,93.3000,33.2200
8,18.4333,41.2600,-8.7944,93.3000,31.0950
9,18.3611,41.1900,-8.8944,93.1000,31.0638
10,18.3222,41.0400,-8.9778,93.5000,31.2513
11,18.3111,40.7600,-9.1389,93.4000,31.3138
12,18.3278,40.7400,-9.1611,94.2000,31.2825
13,18.2611,40.6400,-9.1722,94.4000,31.3138
14,18.2889,40.5200,-9.2889,94.6000,31.2188
15,18.3278,40.3600,-9.2667,95.0000,27.0938
16,18.2889,40.3100,-9.3500,94.7000,27.1250
17,18.2889,40.2300,-9.4056,94.3000,27.0938
18,18.2222,40.1200,-9.3389,93.5000,26.8138
19,18.2500,39.9300,-9.4667,93.0000,26.7513
20,18.1500,39.8900,-9.6000,93.3000,26.7200
21,18.1556,39.8300,-9.5389,93.9000,26.7513
22,18.1389,39.7600,-9.6500,93.8000,27.2513
23,18.1444,39.6200,-9.7333,94.1000,27.5013
24,18.1778,39.6500,-9.7778,94.5000,27.5325
25,18.2000,39.5600,-9.9167,94.5000,27.5325
26,18.1000,39.4500,-9.9389,94.8000,26.4700
27,18.1556,39.2500,-10.0611,94.6000,29.6900
28,18.1667,39.2700,-10.1111,94.7000,29.6900
29,18.1056,39.2200,-10.2222,94.5000,29.6588
30,18.0222,39.1400,-10.3167,94.3000,29.4088
31,18.0833,39.0100,-10.3222,94.2000,33.0638
32,18.1278,39.0600,-10.3333,94.0000,33.0638
33,18.1556,38.9500,-10.4111,93.9000,33.0638
34,18.1111,38.8800,-10.4722,93.7000,33.2813
35,18.0889,39.0000,-10.4389,93.8000,35.4063
36,18.2611,39.3300,-10.4667,93.7000,37.4063
37,18.2222,39.2800,-10.4889,93.7000,37.4063
38,18.1389,39.2100,-10.4611,93.5000,37.2188
39,18.1611,39.1500,-10.3111,93.6000,31.3138
40,18.1778,39.2800,-10.0944,93.3000,29.2825
41,18.1611,39.4100,-9.7500,93.5000,29.3138
42,18.1389,39.4700,-7.6111,91.5000,30.6588
43,18.2778,39.4100,-4.8222,80.7000,27.6888
44,18.2889,39.5500,-3.9556,76.3300,27.6888
45,18.2944,39.5900,-3.0500,72.5500,27.6888
46,18.4444,39.5900,-2.0556,66.5800,28.1563
47,18.5556,39.5500,-1.5778,66.5800,28.4063
48,18.4722,39.5600,-1.1500,65.4500,28.4063
49,18.4556,39.5500,-0.4278,61.2300,28.4063
50,18.7333,39.5800,0.3556,58.0700,28.5313
51,18.8167,39.5700,1.1944,53.0300,28.7513
52,18.6111,39.6300,1.7667,50.4900,28.7825
53,18.6944,39.6500,1.8889,51.0700,28.7513
54,19.0056,39.8700,3.2167,47.0500,29.5963
55,18.9333,40.0400,3.6778,45.2200,29.8138
56,18.8167,40.3200,4.0167,45.4800,29.7825
57,18.9444,40.3800,4.3000,43.2500,29.8138
58,19.3722,40.4300,5.1333,41.2000,30.0938
59,19.3056,40.5100,5.3611,39.1900,30.5013
60,19.1000,40.7400,5.8278,37.9100,30.5325
61,19.0833,40.9100,6.2444,36.9500,30.5013
62,19.5000,40.9900,6.6111,35.3500,30.3138
63,19.7111,41.0300,7.1667,34.0800,34.7513
64,19.4667,41.4200,7.5889,33.9700,34.7200
65,19.5000,41.5700,7.4611,35.4400,34.7513
66,19.8111,41.8100,7.3389,37.4100,34.8138
67,20.0056,41.8200,7.5000,39.9700,34.5938
68,19.5222,42.1700,7.6111,50.2700,34.6250
69,19.3500,42.4200,7.5944,55.7200,34.6250
70,19.3278,42.6800,7.5444,56.9700,34.1575
71,19.2444,42.8800,7.4167,57.7200,40.2450
72,18.8722,43.0800,7.3056,58.7700,42.4950
73,18.9333,43.2500,6.9778,60.4700,42.4638
74,19.1444,44.2100,6.6667,61.9200,41.7438
75,19.1833,45.8600,6.2611,63.7500,41.3438
76,18.7944,45.3800,5.7833,65.3800,48.5938
77,18.6667,45.2200,5.4222,67.3800,48.6250
78,18.9000,45.1000,5.0722,69.5400,48.8450
79,19.1611,45.0600,4.0944,73.6000,48.8200
80,19.0333,45.0900,3.2278,77.6300,53.1950
81,18.7611,45.1500,2.5722,80.3000,53.1950
